# NumberResearch.org area code dataset. License CC BY 4.0. Underlying data: NANPA (nanpa.com), file date 09/17/2026. Retrieved via numberresearch.org/datasets
npa,kind,status,country,region,in_service_date,parent_npa,dialing_pattern
325,geographic,in_service,US,TX,2003-04-05,915,7D
326,geographic,in_service,US,OH,2020-03-08,937,10D
327,geographic,in_service,US,AR,2024-02-20,870,10D
328,geographic,unassigned,,,,,
329,geographic,in_service,US,NY,2023-03-24,845,10D
330,geographic,in_service,US,OH,1996-03-09,216,10D
331,geographic,in_service,US,IL,2007-10-07,630,1+10D
332,geographic,in_service,US,NY,2017-06-10,212,1+10D
333,non_geographic,unassigned,,,,,
334,geographic,in_service,US,AL,1995-01-15,205,10D
335,geographic,unassigned,,,,,
336,geographic,in_service,US,NC,1997-12-15,910,10D
337,geographic,in_service,US,LA,1999-10-11,318,10D
338,geographic,unassigned,,,,,
339,geographic,in_service,US,MA,2001-05-02,781,10D
340,geographic,in_service,US,VI,1997-06-01,809,7D
341,geographic,in_service,US,CA,2019-07-22,510,1+10D
342,geographic,unassigned,,,,,
343,geographic,in_service,CANADA,ONTARIO,2010-05-17,613,10D
344,non_geographic,unassigned,,,,,
345,geographic,in_service,CAYMAN ISLANDS,CAYMAN ISLANDS,1996-09-01,809,7D
346,geographic,in_service,US,TX,2014-07-01,832,10D
347,geographic,in_service,US,NY,1999-10-01,718,1+10D
348,geographic,unassigned,,,,,
349,geographic,unassigned,,,,,
350,geographic,in_service,US,CA,2022-11-28,209,1+10D
351,geographic,in_service,US,MA,2001-05-02,978,10D
352,geographic,in_service,US,FL,1995-12-03,904,10D
353,geographic,in_service,US,WI,2023-09-15,608,10D
354,geographic,in_service,CANADA,QUEBEC,2022-10-22,450,10D
355,non_geographic,unassigned,,,,,
356,geographic,unassigned,,,,,
357,geographic,in_service,US,CA,2025-03-26,559,1+10D
358,geographic,unassigned,,,,,
359,geographic,reserved,,,,,
360,geographic,in_service,US,WA,1995-01-15,206,10D
361,geographic,in_service,US,TX,1999-02-13,512,10D
362,geographic,unassigned,,,,,
363,geographic,in_service,US,NY,2023-01-20,516,10D
364,geographic,in_service,US,KY,2014-03-03,270,10D
365,geographic,in_service,CANADA,ONTARIO,2013-03-25,905,10D
366,non_geographic,unassigned,,,,,
367,geographic,in_service,CANADA,QUEBEC,2018-11-24,581,10D
368,geographic,in_service,CANADA,ALBERTA,2022-04-23,825,10D
369,geographic,in_service,US,CA,2023-02-01,707,1+10D
370,non_geographic,reserved,,,,,
371,non_geographic,reserved,,,,,
372,non_geographic,reserved,,,,,
373,non_geographic,reserved,,,,,
374,non_geographic,reserved,,,,,
375,non_geographic,reserved,,,,,
376,non_geographic,reserved,,,,,
377,non_geographic,reserved,,,,,
378,non_geographic,reserved,,,,,
379,non_geographic,reserved,,,,,
380,geographic,in_service,US,OH,2016-02-27,614,10D
381,geographic,reserved,,,,,
